"afd_Balten_2025_08" "afd_BeatrixVonStorch_2021_07" "afd_BeatrixVonStorch_2022_06" "afd_chrupalla_2024_10" "afd_chrupalla_2025_09" "afd_Gauland_2018_02" "afd_Gauland_Regierungserklärung2018_04" "afd_Malsack-Winkemann_2018_03" "afd_weidel_2018_01" "afd_weidel_2021_05" "dolchstoß_01" "dolchstoß_BrockhausArtikel_1930_03" "dolchstoß_Eiserne Blätter_1918_05" "dolchstoß_RedeNoske_1907_04" "dolchstoß_Wahlplakat1924_02"
"frau" 0.284900284900285 0.168350168350168 0.815217391304348 0.151057401812689 0.204498977505112 1.29749768303985 1.1037527593819 0 0.245700245700246 0.268817204301075 0 0 0 0 0
"ihre" 0.56980056980057 0.168350168350168 0.271739130434783 0.6797583081571 0.306748466257669 0.370713623725672 0.11037527593819 0.136054421768707 0.737100737100737 0.53763440860215 0.235478806907378 0 0 0 0
"dass" 0 0.673400673400673 0.543478260869565 0.226586102719033 0.511247443762781 1.0194624652456 0.33112582781457 0.680272108843537 0 0.134408602150538 0.156985871271586 0 0 0 1.14942528735632
"deutschland" 0.284900284900285 0 0 0.6797583081571 0.613496932515337 0.370713623725672 0.11037527593819 0 0.655200655200655 0.268817204301075 0.156985871271586 0 0.757575757575758 0.99009900990099 0
"bei" 0 0.505050505050505 0.271739130434783 0.6797583081571 0.306748466257669 0.370713623725672 0.22075055187638 0.272108843537415 0 0.268817204301075 0.54945054945055 0 0 0.99009900990099 0
"nach" 0 0.168350168350168 0 0.453172205438066 0.408997955010225 0.370713623725672 0.22075055187638 0.680272108843537 0.327600327600328 0.268817204301075 0.235478806907378 0.36101083032491 0.757575757575758 0 1.14942528735632
"diese" 0 0.505050505050505 0 0.0755287009063444 0.715746421267894 0.278035217794254 0.11037527593819 0.816326530612245 0.163800163800164 0.403225806451613 0.54945054945055 0 0 0 0
"mehr" 0.854700854700855 0.168350168350168 0 0.226586102719033 0.306748466257669 0.092678405931418 0.883002207505519 0.54421768707483 0.327600327600328 0 0.313971742543171 0.36101083032491 0.757575757575758 0 0
"uns" 0 0.168350168350168 0.543478260869565 0.377643504531722 0.204498977505112 0.185356811862836 0.11037527593819 0.272108843537415 0.40950040950041 0.134408602150538 0.470957613814757 0 0.757575757575758 1.98019801980198 2.29885057471264
"wenn" 0 0.336700336700337 0.271739130434783 0.377643504531722 0.102249488752556 0.46339202965709 0.551876379690949 0.952380952380952 0.0819000819000819 0.134408602150538 0.235478806907378 0 0 0.99009900990099 0
"nur" 0 0.168350168350168 0.271739130434783 0.226586102719033 0.306748466257669 0.46339202965709 0.33112582781457 0.54421768707483 0.163800163800164 0.134408602150538 0.54945054945055 0 0 0 0
"er" 0 2.18855218855219 0 0.226586102719033 0.102249488752556 0.092678405931418 0.11037527593819 0.272108843537415 0.163800163800164 0.268817204301075 0.156985871271586 0.36101083032491 0 0 0
"was" 0.56980056980057 0.336700336700337 0 0.302114803625378 0.408997955010225 0.278035217794254 0.11037527593819 0.272108843537415 0.327600327600328 0 0.470957613814757 0 0 0 0
"herr" 0 0.168350168350168 0.271739130434783 0.377643504531722 1.22699386503067 0.092678405931418 0.22075055187638 0.136054421768707 0.245700245700246 0.134408602150538 0 0 0 0 0
"über" 0.284900284900285 0.168350168350168 0.543478260869565 0 0.306748466257669 0.46339202965709 0.33112582781457 0.136054421768707 0.573300573300573 0.134408602150538 0.235478806907378 0 0 0 0
"politik" 0 0 0 0.604229607250755 0.306748466257669 0.278035217794254 0.441501103752759 0 0.0819000819000819 0.403225806451613 0.156985871271586 0 1.51515151515152 0 0
"unsere" 0.854700854700855 0.168350168350168 0 0.226586102719033 0.306748466257669 0.092678405931418 0 0.408163265306122 0.245700245700246 0.134408602150538 0.54945054945055 0 0.757575757575758 0 0
"vor" 0.56980056980057 0.168350168350168 0 0.151057401812689 0.408997955010225 0.185356811862836 0.33112582781457 0.272108843537415 0.245700245700246 0.268817204301075 0.156985871271586 0 1.51515151515152 0.99009900990099 0
